Chan,Delta,Timestamp,RSSI
37,,29.9.2017 14:19:20.526205,-70000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:20.526902,-72000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:20.527599,-64000 dBm 
38, 00:00:01.258557,29.9.2017 14:19:21.786156,-72000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:21.786853,-64000 dBm 
37, 00:00:01.220858,29.9.2017 14:19:23.007711,-68000 dBm 
37, 00:00:00.000503,29.9.2017 14:19:23.008214,-40000 dBm 
37, 00:00:00.000326,29.9.2017 14:19:23.008540,-68000 dBm 
38, 00:00:00.000271,29.9.2017 14:19:23.008811,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:23.009508,-64000 dBm 
37, 00:00:01.245784,29.9.2017 14:19:24.255293,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:24.255990,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:24.256687,-64000 dBm 
37, 00:00:01.257406,29.9.2017 14:19:25.514093,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:25.514790,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:25.515487,-65000 dBm 
37, 00:00:01.230289,29.9.2017 14:19:26.745776,-70000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:26.746473,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:26.747170,-64000 dBm 
39, 00:00:01.250359,29.9.2017 14:19:27.997529,-64000 dBm 
37, 00:00:01.229208,29.9.2017 14:19:29.226737,-71000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:29.227434,-69000 dBm 
38, 00:00:00.000502,29.9.2017 14:19:29.227936,-44000 dBm 
38, 00:00:00.000326,29.9.2017 14:19:29.228262,-70000 dBm 
39, 00:00:00.000271,29.9.2017 14:19:29.228533,-64000 dBm 
37, 00:00:02.527388,29.9.2017 14:19:31.755921,-70000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:31.756617,-68000 dBm 
38, 00:00:00.000503,29.9.2017 14:19:31.757120,-44000 dBm 
38, 00:00:00.000326,29.9.2017 14:19:31.757446,-68000 dBm 
39, 00:00:00.000271,29.9.2017 14:19:31.757718,-63000 dBm 
37, 00:00:01.240325,29.9.2017 14:19:32.998043,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:32.998740,-68000 dBm 
38, 00:00:00.000503,29.9.2017 14:19:32.999243,-40000 dBm 
39, 00:00:00.000194,29.9.2017 14:19:32.999437,-64000 dBm 
37, 00:00:01.212391,29.9.2017 14:19:34.211828,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:34.212525,-68000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:34.213222,-64000 dBm 
39, 00:00:00.000503,29.9.2017 14:19:34.213725,-40000 dBm 
39, 00:00:00.000326,29.9.2017 14:19:34.214051,-64000 dBm 
37, 00:00:01.267679,29.9.2017 14:19:35.481730,-66000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:35.482427,-72000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:35.483124,-63000 dBm 
38, 00:00:01.255352,29.9.2017 14:19:36.738476,-73000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:36.739173,-63000 dBm 
37, 00:00:01.208144,29.9.2017 14:19:37.947317,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:37.948014,-72000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:37.948711,-63000 dBm 
37, 00:00:01.234338,29.9.2017 14:19:39.183049,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:39.183746,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:39.184443,-62000 dBm 
37, 00:00:01.247736,29.9.2017 14:19:40.432180,-67000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:40.432877,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:40.433574,-62000 dBm 
37, 00:00:01.248280,29.9.2017 14:19:41.681854,-68000 dBm 
37, 00:00:00.000503,29.9.2017 14:19:41.682356,-46000 dBm 
37, 00:00:00.000326,29.9.2017 14:19:41.682682,-68000 dBm 
38, 00:00:00.000271,29.9.2017 14:19:41.682953,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:41.683650,-63000 dBm 
37, 00:00:01.244887,29.9.2017 14:19:42.928537,-68000 dBm 
37, 00:00:00.000502,29.9.2017 14:19:42.929039,-46000 dBm 
37, 00:00:00.000326,29.9.2017 14:19:42.929365,-68000 dBm 
38, 00:00:00.000271,29.9.2017 14:19:42.929636,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:42.930333,-63000 dBm 
37, 00:00:02.485738,29.9.2017 14:19:45.416071,-69000 dBm 
38, 00:00:00.001200,29.9.2017 14:19:45.417271,-44000 dBm 
38, 00:00:00.000326,29.9.2017 14:19:45.417596,-70000 dBm 
39, 00:00:00.000271,29.9.2017 14:19:45.417867,-62000 dBm 
37, 00:00:02.484140,29.9.2017 14:19:47.902007,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:47.902704,-68000 dBm 
38, 00:00:00.000503,29.9.2017 14:19:47.903206,-48000 dBm 
38, 00:00:00.000326,29.9.2017 14:19:47.903533,-69000 dBm 
39, 00:00:00.000271,29.9.2017 14:19:47.903804,-62000 dBm 
37, 00:00:01.245282,29.9.2017 14:19:49.149086,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:49.149783,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:49.150480,-63000 dBm 
39, 00:00:00.000502,29.9.2017 14:19:49.150982,-38000 dBm 
39, 00:00:00.000326,29.9.2017 14:19:49.151308,-63000 dBm 
37, 00:00:01.247477,29.9.2017 14:19:50.398785,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:50.399482,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:50.400179,-62000 dBm 
39, 00:00:00.000502,29.9.2017 14:19:50.400681,-37000 dBm 
39, 00:00:00.000326,29.9.2017 14:19:50.401007,-61000 dBm 
37, 00:00:01.229228,29.9.2017 14:19:51.630235,-67000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:51.630932,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:51.631629,-62000 dBm 
37, 00:00:01.243685,29.9.2017 14:19:52.875314,-66000 dBm 
39, 00:00:00.001394,29.9.2017 14:19:52.876708,-63000 dBm 
37, 00:00:01.245975,29.9.2017 14:19:54.122683,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:54.123380,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:54.124077,-62000 dBm 
39, 00:00:01.247689,29.9.2017 14:19:55.371767,-60000 dBm 
37, 00:00:01.251154,29.9.2017 14:19:56.622921,-66000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:56.623618,-73000 dBm 
38, 00:00:00.000504,29.9.2017 14:19:56.624121,-71000 dBm 
39, 00:00:00.000194,29.9.2017 14:19:56.624315,-61000 dBm 
37, 00:00:01.257128,29.9.2017 14:19:57.881443,-67000 dBm 
38, 00:00:00.000697,29.9.2017 14:19:57.882140,-73000 dBm 
39, 00:00:00.000697,29.9.2017 14:19:57.882837,-62000 dBm 
39, 00:00:01.240160,29.9.2017 14:19:59.122997,-62000 dBm 
37, 00:00:01.233437,29.9.2017 14:20:00.356434,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:00.357131,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:00.357828,-63000 dBm 
37, 00:00:01.260462,29.9.2017 14:20:01.618291,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:01.618988,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:01.619685,-63000 dBm 
37, 00:00:01.245682,29.9.2017 14:20:02.865367,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:02.866064,-70000 dBm 
38, 00:00:00.000502,29.9.2017 14:20:02.866566,-50000 dBm 
38, 00:00:00.000326,29.9.2017 14:20:02.866892,-70000 dBm 
39, 00:00:00.000271,29.9.2017 14:20:02.867163,-62000 dBm 
37, 00:00:01.245672,29.9.2017 14:20:04.112835,-68000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:04.113532,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:04.114229,-63000 dBm 
39, 00:00:00.000502,29.9.2017 14:20:04.114731,-38000 dBm 
39, 00:00:00.000326,29.9.2017 14:20:04.115057,-62000 dBm 
37, 00:00:01.260761,29.9.2017 14:20:05.375818,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:05.376515,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:05.377212,-63000 dBm 
37, 00:00:01.253614,29.9.2017 14:20:06.630827,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:06.631523,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:06.632221,-62000 dBm 
37, 00:00:01.210794,29.9.2017 14:20:07.843015,-69000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:07.843712,-71000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:07.844409,-62000 dBm 
37, 00:00:01.287142,29.9.2017 14:20:09.131551,-67000 dBm 
38, 00:00:00.000697,29.9.2017 14:20:09.132248,-70000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:09.132945,-62000 dBm 
39, 00:00:01.230116,29.9.2017 14:20:10.363061,-62000 dBm 
37, 00:00:01.235003,29.9.2017 14:20:11.598064,-68000 dBm 
37, 00:00:00.000502,29.9.2017 14:20:11.598566,-44000 dBm 
37, 00:00:00.000326,29.9.2017 14:20:11.598892,-67000 dBm 
38, 00:00:00.000271,29.9.2017 14:20:11.599163,-69000 dBm 
39, 00:00:00.000697,29.9.2017 14:20:11.599860,-62000 dBm 
