Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,1,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,="",="29-Sep-17 3:49:34.006862 PM",-81.000 dBm (weak),
,2,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000698",="29-Sep-17 3:49:34.007560 PM",-78.000 dBm (weak),
,3,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.237833",="29-Sep-17 3:49:35.245393 PM",-81.000 dBm (weak),
,4,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:35.246090 PM",-79.000 dBm (weak),
,5,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:35.246787 PM",-82.000 dBm (weak),
,6,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243821",="29-Sep-17 3:49:36.490608 PM",-79.000 dBm (weak),
,7,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:36.491305 PM",-84.000 dBm (weak),
,8,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.265419",="29-Sep-17 3:49:37.756723 PM",-84.000 dBm (weak),
,9,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:37.757421 PM",-80.000 dBm (weak),
,10,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:37.758117 PM",-82.000 dBm (weak),
,11,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.232082",="29-Sep-17 3:49:38.990199 PM",-80.000 dBm (weak),
,12,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.254075",="29-Sep-17 3:49:40.244274 PM",-79.000 dBm (weak),
,13,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.239329",="29-Sep-17 3:49:41.483602 PM",-79.000 dBm (weak),
,14,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247001",="29-Sep-17 3:49:42.730603 PM",-81.000 dBm (weak),
,15,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.245533",="29-Sep-17 3:49:43.976135 PM",-82.000 dBm (weak),
,16,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:43.976833 PM",-80.000 dBm (weak),
,17,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247432",="29-Sep-17 3:49:45.224264 PM",-81.000 dBm (weak),
,18,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:45.224961 PM",-80.000 dBm (weak),
,19,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:02.496954",="29-Sep-17 3:49:47.721915 PM",-79.000 dBm (weak),
,20,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.517349",="29-Sep-17 3:49:50.239264 PM",-81.000 dBm (weak),
,21,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:50.239962 PM",-78.000 dBm (weak),
,22,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.206718",="29-Sep-17 3:49:51.446679 PM",-79.000 dBm (weak),
,23,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.500547",="29-Sep-17 3:49:53.947226 PM",-83.000 dBm (weak),
,24,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:53.947923 PM",-79.000 dBm (weak),
,25,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243463",="29-Sep-17 3:49:55.191386 PM",-80.000 dBm (weak),
,26,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:55.192083 PM",-79.000 dBm (weak),
,27,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.255179",="29-Sep-17 3:49:56.447262 PM",-78.000 dBm (weak),
,28,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.246407",="29-Sep-17 3:49:57.693668 PM",-81.000 dBm (weak),
,29,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:49:57.694365 PM",-79.000 dBm (weak),
,30,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:03.728091",="29-Sep-17 3:50:01.422456 PM",-81.000 dBm (weak),
,31,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:01.423153 PM",-78.000 dBm (weak),
,32,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.252426",="29-Sep-17 3:50:02.675579 PM",-81.000 dBm (weak),
,33,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:02.676277 PM",-78.000 dBm (weak),
,34,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.515895",="29-Sep-17 3:50:05.192172 PM",-80.000 dBm (weak),
,35,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:05.192869 PM",-78.000 dBm (weak),
,36,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.205924",="29-Sep-17 3:50:06.398793 PM",-81.000 dBm (weak),
,37,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:04.987835",="29-Sep-17 3:50:11.386628 PM",-80.000 dBm (weak),
,38,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247829",="29-Sep-17 3:50:12.634456 PM",-79.000 dBm (weak),
,39,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.251882",="29-Sep-17 3:50:13.886338 PM",-81.000 dBm (weak),
,40,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:13.887035 PM",-81.000 dBm (weak),
,41,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.267777",="29-Sep-17 3:50:15.154811 PM",-81.000 dBm (weak),
,42,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:15.155509 PM",-81.000 dBm (weak),
,43,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001199",="29-Sep-17 3:50:15.156708 PM",-34.000 dBm (strong),
,44,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.216212",="29-Sep-17 3:50:16.372920 PM",-81.000 dBm (weak),
,45,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:16.373617 PM",-80.000 dBm (weak),
,46,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001199",="29-Sep-17 3:50:16.374816 PM",-34.000 dBm (strong),
,47,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:03.727653",="29-Sep-17 3:50:20.102469 PM",-79.000 dBm (weak),
,48,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.264295",="29-Sep-17 3:50:21.366763 PM",-79.000 dBm (weak),
,49,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.488004",="29-Sep-17 3:50:23.854767 PM",-81.000 dBm (weak),
,50,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:23.855465 PM",-79.000 dBm (weak),
,51,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:23.856162 PM",-81.000 dBm (weak),
,52,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:06.218056",="29-Sep-17 3:50:30.074217 PM",-81.000 dBm (weak),
,53,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.001897",="29-Sep-17 3:50:30.076114 PM",-35.000 dBm (strong),
,54,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.248706",="29-Sep-17 3:50:31.324820 PM",-81.000 dBm (weak),
,55,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:50:31.325517 PM",-79.000 dBm (weak),
