Chan,Timestamp,RSSI
37,13-Nov-17 5:07:29.988065 PM,-37
38,13-Nov-17 5:07:29.988763 PM,-35
38,13-Nov-17 5:07:29.989265 PM,-38
38,13-Nov-17 5:07:29.989592 PM,-35
39,13-Nov-17 5:07:29.989862 PM,-43
37,13-Nov-17 5:07:31.236147 PM,-37
38,13-Nov-17 5:07:31.236844 PM,-35
38,13-Nov-17 5:07:31.237347 PM,-38
38,13-Nov-17 5:07:31.237672 PM,-35
39,13-Nov-17 5:07:31.237943 PM,-43
37,13-Nov-17 5:07:32.481830 PM,-37
37,13-Nov-17 5:07:32.482332 PM,-44
37,13-Nov-17 5:07:32.482658 PM,-37
38,13-Nov-17 5:07:32.482929 PM,-35
39,13-Nov-17 5:07:32.483626 PM,-42
37,13-Nov-17 5:07:33.734711 PM,-37
37,13-Nov-17 5:07:33.735213 PM,-44
37,13-Nov-17 5:07:33.735539 PM,-37
38,13-Nov-17 5:07:33.735810 PM,-35
39,13-Nov-17 5:07:33.736507 PM,-43
37,13-Nov-17 5:07:34.977493 PM,-37
38,13-Nov-17 5:07:34.978191 PM,-35
38,13-Nov-17 5:07:34.978693 PM,-38
38,13-Nov-17 5:07:34.979019 PM,-35
39,13-Nov-17 5:07:34.979289 PM,-43
37,13-Nov-17 5:07:36.218625 PM,-37
38,13-Nov-17 5:07:36.219322 PM,-35
38,13-Nov-17 5:07:36.219825 PM,-38
38,13-Nov-17 5:07:36.220150 PM,-35
39,13-Nov-17 5:07:36.220421 PM,-43
37,13-Nov-17 5:07:37.453899 PM,-37
38,13-Nov-17 5:07:37.454596 PM,-35
38,13-Nov-17 5:07:37.455098 PM,-38
38,13-Nov-17 5:07:37.455424 PM,-36
39,13-Nov-17 5:07:37.455695 PM,-43
37,13-Nov-17 5:07:38.704838 PM,-37
37,13-Nov-17 5:07:38.705340 PM,-45
37,13-Nov-17 5:07:38.705666 PM,-37
38,13-Nov-17 5:07:38.705937 PM,-35
39,13-Nov-17 5:07:38.706634 PM,-42
37,13-Nov-17 5:07:39.940220 PM,-37
38,13-Nov-17 5:07:39.940918 PM,-35
38,13-Nov-17 5:07:39.941420 PM,-38
38,13-Nov-17 5:07:39.941746 PM,-35
39,13-Nov-17 5:07:39.942016 PM,-43
37,13-Nov-17 5:07:41.191501 PM,-37
38,13-Nov-17 5:07:41.192198 PM,-36
38,13-Nov-17 5:07:41.192701 PM,-44
38,13-Nov-17 5:07:41.193026 PM,-36
39,13-Nov-17 5:07:41.193297 PM,-42
37,13-Nov-17 5:07:42.436784 PM,-36
38,13-Nov-17 5:07:42.437481 PM,-35
38,13-Nov-17 5:07:42.437984 PM,-38
38,13-Nov-17 5:07:42.438309 PM,-36
39,13-Nov-17 5:07:42.438580 PM,-43
37,13-Nov-17 5:07:43.685165 PM,-36
