Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,+PDU Type (LE ADV),
,1,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,="",="13-Nov-17 5:07:29.988065 PM",-37.000 dBm (medium),ADV_IND,
,2,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:07:29.988763 PM",-35.000 dBm (strong),ADV_IND,
,3,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:07:29.989265 PM",-38.000 dBm (medium),SCAN_REQ,
,4,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:07:29.989592 PM",-35.000 dBm (strong),SCAN_RSP,
,5,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:07:29.989862 PM",-43.000 dBm (medium),ADV_IND,
,6,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.246285",="13-Nov-17 5:07:31.236147 PM",-37.000 dBm (medium),ADV_IND,
,7,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:07:31.236844 PM",-35.000 dBm (strong),ADV_IND,
,8,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:07:31.237347 PM",-38.000 dBm (medium),SCAN_REQ,
,9,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000325",="13-Nov-17 5:07:31.237672 PM",-35.000 dBm (strong),SCAN_RSP,
,10,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:07:31.237943 PM",-43.000 dBm (medium),ADV_IND,
,11,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243887",="13-Nov-17 5:07:32.481830 PM",-37.000 dBm (medium),ADV_IND,
,12,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="13-Nov-17 5:07:32.482332 PM",-44.000 dBm (medium),SCAN_REQ,
,13,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:07:32.482658 PM",-37.000 dBm (medium),SCAN_RSP,
,14,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:07:32.482929 PM",-35.000 dBm (strong),ADV_IND,
