Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,1,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,="",="02-Oct-17 5:32:14.716444 PM",-72.000 dBm (weak),
,2,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:14.717470 PM",-78.000 dBm (weak),
,3,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357930",="02-Oct-17 5:32:15.075400 PM",-75.000 dBm (weak),
,4,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:15.076428 PM",-73.000 dBm (weak),
,5,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:15.077454 PM",-78.000 dBm (weak),
,6,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352806",="02-Oct-17 5:32:15.430259 PM",-76.000 dBm (weak),
,7,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:15.431287 PM",-73.000 dBm (weak),
,8,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:15.432313 PM",-78.000 dBm (weak),
,9,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.356890",="02-Oct-17 5:32:15.789203 PM",-76.000 dBm (weak),
,10,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:15.790230 PM",-72.000 dBm (weak),
,11,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000519",="02-Oct-17 5:32:15.790749 PM",-48.000 dBm (medium),
,12,1,    12 ,  38 ,SUCCESS,No,,1M,31,65,=" 00:00:00.000326",="02-Oct-17 5:32:15.791075 PM",-72.000 dBm (weak),
,13,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.000776",="02-Oct-17 5:32:15.791850 PM",-79.000 dBm (weak),
,14,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.354781",="02-Oct-17 5:32:16.146631 PM",-72.000 dBm (weak),
,15,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:16.147657 PM",-79.000 dBm (weak),
,16,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.698367",="02-Oct-17 5:32:16.846024 PM",-75.000 dBm (weak),
,17,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:16.847052 PM",-72.000 dBm (weak),
,18,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:16.848077 PM",-78.000 dBm (weak),
,19,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.349453",="02-Oct-17 5:32:17.197530 PM",-75.000 dBm (weak),
,20,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:17.198558 PM",-72.000 dBm (weak),
,21,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:17.199584 PM",-79.000 dBm (weak),
,22,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357461",="02-Oct-17 5:32:17.557045 PM",-76.000 dBm (weak),
,23,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350042",="02-Oct-17 5:32:17.907087 PM",-76.000 dBm (weak),
,24,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.002053",="02-Oct-17 5:32:17.909140 PM",-79.000 dBm (weak),
,25,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.351038",="02-Oct-17 5:32:18.260178 PM",-76.000 dBm (weak),
,26,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:18.261206 PM",-72.000 dBm (weak),
,27,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:18.262232 PM",-78.000 dBm (weak),
,28,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.348718",="02-Oct-17 5:32:18.610949 PM",-75.000 dBm (weak),
,29,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:18.611977 PM",-72.000 dBm (weak),
,30,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:18.613003 PM",-79.000 dBm (weak),
