Chan,Delta,Timestamp,RSSI
37,,29-Sep-17 3:49:34.006862 PM,-81
38, 00:00:00.000698,29-Sep-17 3:49:34.007560 PM,-78
37, 00:00:01.237833,29-Sep-17 3:49:35.245393 PM,-81
38, 00:00:00.000697,29-Sep-17 3:49:35.246090 PM,-79
39, 00:00:00.000697,29-Sep-17 3:49:35.246787 PM,-82
38, 00:00:01.243821,29-Sep-17 3:49:36.490608 PM,-79
39, 00:00:00.000697,29-Sep-17 3:49:36.491305 PM,-84
37, 00:00:01.265419,29-Sep-17 3:49:37.756723 PM,-84
38, 00:00:00.000697,29-Sep-17 3:49:37.757421 PM,-80
39, 00:00:00.000697,29-Sep-17 3:49:37.758117 PM,-82
38, 00:00:01.232082,29-Sep-17 3:49:38.990199 PM,-80
38, 00:00:01.254075,29-Sep-17 3:49:40.244274 PM,-79
38, 00:00:01.239329,29-Sep-17 3:49:41.483602 PM,-79
37, 00:00:01.247001,29-Sep-17 3:49:42.730603 PM,-81
37, 00:00:01.245533,29-Sep-17 3:49:43.976135 PM,-82
38, 00:00:00.000697,29-Sep-17 3:49:43.976833 PM,-80
37, 00:00:01.247432,29-Sep-17 3:49:45.224264 PM,-81
38, 00:00:00.000697,29-Sep-17 3:49:45.224961 PM,-80
38, 00:00:02.496954,29-Sep-17 3:49:47.721915 PM,-79
37, 00:00:02.517349,29-Sep-17 3:49:50.239264 PM,-81
38, 00:00:00.000697,29-Sep-17 3:49:50.239962 PM,-78
38, 00:00:01.206718,29-Sep-17 3:49:51.446679 PM,-79
37, 00:00:02.500547,29-Sep-17 3:49:53.947226 PM,-83
38, 00:00:00.000697,29-Sep-17 3:49:53.947923 PM,-79
37, 00:00:01.243463,29-Sep-17 3:49:55.191386 PM,-80
38, 00:00:00.000697,29-Sep-17 3:49:55.192083 PM,-79
38, 00:00:01.255179,29-Sep-17 3:49:56.447262 PM,-78
37, 00:00:01.246407,29-Sep-17 3:49:57.693668 PM,-81
38, 00:00:00.000697,29-Sep-17 3:49:57.694365 PM,-79
37, 00:00:03.728091,29-Sep-17 3:50:01.422456 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:01.423153 PM,-78
37, 00:00:01.252426,29-Sep-17 3:50:02.675579 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:02.676277 PM,-78
37, 00:00:02.515895,29-Sep-17 3:50:05.192172 PM,-80
38, 00:00:00.000697,29-Sep-17 3:50:05.192869 PM,-78
37, 00:00:01.205924,29-Sep-17 3:50:06.398793 PM,-81
38, 00:00:04.987835,29-Sep-17 3:50:11.386628 PM,-80
38, 00:00:01.247829,29-Sep-17 3:50:12.634456 PM,-79
37, 00:00:01.251882,29-Sep-17 3:50:13.886338 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:13.887035 PM,-81
37, 00:00:01.267777,29-Sep-17 3:50:15.154811 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:15.155509 PM,-81
39, 00:00:00.001199,29-Sep-17 3:50:15.156708 PM,-34.000 (strong)
37, 00:00:01.216212,29-Sep-17 3:50:16.372920 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:16.373617 PM,-80
39, 00:00:00.001199,29-Sep-17 3:50:16.374816 PM,-34.000 (strong)
37, 00:00:03.727653,29-Sep-17 3:50:20.102469 PM,-79
37, 00:00:01.264295,29-Sep-17 3:50:21.366763 PM,-79
37, 00:00:02.488004,29-Sep-17 3:50:23.854767 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:23.855465 PM,-79
39, 00:00:00.000697,29-Sep-17 3:50:23.856162 PM,-81
37, 00:00:06.218056,29-Sep-17 3:50:30.074217 PM,-81
39, 00:00:00.001897,29-Sep-17 3:50:30.076114 PM,-35.000 (strong)
37, 00:00:01.248706,29-Sep-17 3:50:31.324820 PM,-81
38, 00:00:00.000697,29-Sep-17 3:50:31.325517 PM,-79
38, 00:00:02.499058,29-Sep-17 3:50:33.824575 PM,-81
