Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,1,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,="",="03-Oct-17 3:10:53.885421 PM",-70.000 dBm (weak),
,2,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:53.886118 PM",-64.000 dBm (weak),
,3,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:53.886815 PM",-62.000 dBm (weak),
,4,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:01.264762",="03-Oct-17 3:10:55.151577 PM",-64.000 dBm (weak),
,5,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.233778",="03-Oct-17 3:10:56.385355 PM",-69.000 dBm (weak),
,6,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:56.386052 PM",-64.000 dBm (weak),
,7,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:56.386749 PM",-62.000 dBm (weak),
,8,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.237332",="03-Oct-17 3:10:57.624081 PM",-69.000 dBm (weak),
,9,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:57.624778 PM",-64.000 dBm (weak),
,10,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 3:10:57.625280 PM",-63.000 dBm (weak),
,11,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 3:10:57.625606 PM",-64.000 dBm (weak),
,12,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 3:10:57.625877 PM",-62.000 dBm (weak),
,13,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.276469",="03-Oct-17 3:10:58.902346 PM",-69.000 dBm (weak),
,14,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:58.903043 PM",-64.000 dBm (weak),
,15,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:10:58.903740 PM",-62.000 dBm (weak),
,16,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.225283",="03-Oct-17 3:11:00.129023 PM",-69.000 dBm (weak),
,17,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:00.129720 PM",-64.000 dBm (weak),
,18,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:00.130417 PM",-62.000 dBm (weak),
,19,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:01.259010",="03-Oct-17 3:11:01.389427 PM",-62.000 dBm (weak),
,20,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.469747",="03-Oct-17 3:11:03.859174 PM",-72.000 dBm (weak),
,21,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:03.859871 PM",-64.000 dBm (weak),
,22,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:03.860568 PM",-62.000 dBm (weak),
,23,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.234370",="03-Oct-17 3:11:05.094938 PM",-64.000 dBm (weak),
,24,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:05.095635 PM",-61.000 dBm (weak),
,25,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.251689",="03-Oct-17 3:11:06.347324 PM",-63.000 dBm (weak),
,26,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:06.348021 PM",-61.000 dBm (weak),
,27,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.236700",="03-Oct-17 3:11:07.584721 PM",-72.000 dBm (weak),
,28,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:07.585418 PM",-63.000 dBm (weak),
,29,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:07.586115 PM",-61.000 dBm (weak),
,30,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.253245",="03-Oct-17 3:11:08.839361 PM",-70.000 dBm (weak),
,31,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:08.840057 PM",-63.000 dBm (weak),
,32,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:08.840754 PM",-62.000 dBm (weak),
,33,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.250966",="03-Oct-17 3:11:10.091721 PM",-71.000 dBm (weak),
,34,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:10.092418 PM",-63.000 dBm (weak),
,35,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:10.093115 PM",-62.000 dBm (weak),
,36,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 3:11:10.093617 PM",-66.000 dBm (weak),
,37,1,    39 ,  39 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 3:11:10.093943 PM",-61.000 dBm (weak),
,38,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.268041",="03-Oct-17 3:11:11.361984 PM",-63.000 dBm (weak),
,39,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:11.362681 PM",-61.000 dBm (weak),
,40,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.237113",="03-Oct-17 3:11:12.599794 PM",-71.000 dBm (weak),
,41,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:12.600491 PM",-64.000 dBm (weak),
,42,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:12.601188 PM",-61.000 dBm (weak),
,43,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.229436",="03-Oct-17 3:11:13.830624 PM",-71.000 dBm (weak),
,44,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:13.831321 PM",-63.000 dBm (weak),
,45,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:13.832018 PM",-62.000 dBm (weak),
,46,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.240840",="03-Oct-17 3:11:15.072858 PM",-72.000 dBm (weak),
,47,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:15.073555 PM",-64.000 dBm (weak),
,48,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:15.074252 PM",-62.000 dBm (weak),
,49,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.226629",="03-Oct-17 3:11:16.300881 PM",-71.000 dBm (weak),
,50,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:16.301578 PM",-63.000 dBm (weak),
,51,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="03-Oct-17 3:11:16.302081 PM",-64.000 dBm (weak),
,52,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 3:11:16.302407 PM",-63.000 dBm (weak),
,53,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 3:11:16.302678 PM",-62.000 dBm (weak),
,54,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.487810",="03-Oct-17 3:11:18.790488 PM",-71.000 dBm (weak),
,55,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:18.791185 PM",-63.000 dBm (weak),
,56,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:18.791882 PM",-62.000 dBm (weak),
,57,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.238723",="03-Oct-17 3:11:20.030605 PM",-71.000 dBm (weak),
,58,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:20.031302 PM",-63.000 dBm (weak),
,59,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:20.031999 PM",-61.000 dBm (weak),
,60,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.236035",="03-Oct-17 3:11:21.268034 PM",-71.000 dBm (weak),
,61,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:21.268731 PM",-63.000 dBm (weak),
,62,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:21.269428 PM",-62.000 dBm (weak),
,63,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.238082",="03-Oct-17 3:11:22.507510 PM",-63.000 dBm (weak),
,64,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:22.508207 PM",-62.000 dBm (weak),
,65,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.243408",="03-Oct-17 3:11:23.751615 PM",-70.000 dBm (weak),
,66,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:23.752312 PM",-63.000 dBm (weak),
,67,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:23.753009 PM",-62.000 dBm (weak),
,68,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.278121",="03-Oct-17 3:11:25.031130 PM",-63.000 dBm (weak),
,69,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:25.031827 PM",-62.000 dBm (weak),
,70,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.213769",="03-Oct-17 3:11:26.245596 PM",-71.000 dBm (weak),
,71,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:26.246293 PM",-63.000 dBm (weak),
,72,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:26.246990 PM",-62.000 dBm (weak),
,73,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.258185",="03-Oct-17 3:11:27.505176 PM",-71.000 dBm (weak),
,74,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:27.505872 PM",-63.000 dBm (weak),
,75,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:27.506570 PM",-62.000 dBm (weak),
,76,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.276380",="03-Oct-17 3:11:28.782950 PM",-70.000 dBm (weak),
,77,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:28.783647 PM",-63.000 dBm (weak),
,78,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:28.784344 PM",-61.000 dBm (weak),
,79,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.207363",="03-Oct-17 3:11:29.991707 PM",-71.000 dBm (weak),
,80,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:29.992404 PM",-63.000 dBm (weak),
,81,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:29.993101 PM",-62.000 dBm (weak),
,82,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.245186",="03-Oct-17 3:11:31.238287 PM",-71.000 dBm (weak),
,83,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:31.238984 PM",-63.000 dBm (weak),
,84,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 3:11:31.239681 PM",-62.000 dBm (weak),
